,#,R_fighter,B_fighter,Referee,date,location,Winner,weight_class,no_of_rounds,B_losses,B_total_rounds_fought,B_wins,B_Stance,B_Height_cms,B_Weight_lbs,R_losses,R_total_rounds_fought,R_wins,R_Stance,R_Height_cms,R_Weight_lbs,B_age,R_age
0,0,Henry Cejudo,Marlon Moraes,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Red,Bantamweight,5,1.0,9.0,4.0,Orthodox,167.64,135.0,2.0,27.0,8.0,Orthodox,162.56,135.0,31.0,32.0
1,1,Valentina Shevchenko,Jessica Eye,Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Red,Women's Flyweight,5,6.0,29.0,4.0,Orthodox,167.64,125.0,2.0,25.0,5.0,Southpaw,165.1,125.0,32.0,31.0
2,2,Tony Ferguson,Donald Cerrone,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Red,Lightweight,3,8.0,68.0,23.0,Orthodox,185.42,155.0,1.0,33.0,14.0,Orthodox,180.34,155.0,36.0,35.0
3,3,Jimmie Rivera,Petr Yan,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Blue,Bantamweight,3,0.0,9.0,4.0,Switch,170.18,135.0,2.0,20.0,6.0,Orthodox,162.56,135.0,26.0,29.0
4,4,Tai Tuivasa,Blagoy Ivanov,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Blue,Heavyweight,3,1.0,8.0,1.0,Southpaw,180.34,250.0,1.0,7.0,3.0,Southpaw,187.96,264.0,32.0,26.0
5,5,Tatiana Suarez,Nina Ansaroff,Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Red,Women's Strawweight,3,2.0,18.0,4.0,Orthodox,165.1,115.0,0.0,8.0,4.0,,165.1,115.0,33.0,28.0
6,6,Aljamain Sterling,Pedro Munhoz,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Red,Bantamweight,3,4.0,23.0,8.0,Orthodox,167.64,135.0,3.0,32.0,9.0,Orthodox,170.18,135.0,32.0,29.0
7,7,Karolina Kowalkiewicz,Alexa Grasso,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Blue,Women's Strawweight,3,2.0,10.0,2.0,Orthodox,165.1,115.0,4.0,25.0,5.0,Orthodox,160.02,115.0,25.0,33.0
8,8,Ricardo Lamas,Calvin Kattar,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Blue,Featherweight,3,1.0,10.0,3.0,Orthodox,180.34,145.0,5.0,34.0,10.0,Orthodox,172.72,145.0,31.0,37.0
9,9,Yan Xiaonan,Angela Hill,Robert Madrigal,2019-06-08,"Chicago, Illinois, USA",Red,Women's Strawweight,3,6.0,26.0,4.0,Orthodox,160.02,115.0,0.0,9.0,3.0,Orthodox,165.1,115.0,34.0,29.0
10,10,Bevon Lewis,Darren Stewart,Marc Goddard,2019-06-08,"Chicago, Illinois, USA",Blue,Middleweight,3,5.0,14.0,2.0,Orthodox,182.88,185.0,1.0,3.0,0.0,Orthodox,190.5,185.0,28.0,28.0
11,11,Eddie Wineland,Grigorii Popov,Kevin MacDonald,2019-06-08,"Chicago, Illinois, USA",Red,Bantamweight,3,0.0,0.0,0.0,Switch,170.18,135.0,7.0,29.0,5.0,Orthodox,170.18,135.0,35.0,34.0
12,12,Katlyn Chookagian,Joanne Calderwood,Dan Miragliotta,2019-06-08,"Chicago, Illinois, USA",Red,Women's Flyweight,3,3.0,18.0,5.0,Orthodox,167.64,125.0,2.0,18.0,4.0,Orthodox,175.26,125.0,33.0,30.0
13,13,Alexander Gustafsson,Anthony Smith,Marc Goddard,2019-06-01,"Stockholm, Sweden",Blue,Light Heavyweight,5,4.0,27.0,7.0,Orthodox,193.04,205.0,5.0,38.0,10.0,Orthodox,195.58,205.0,30.0,32.0
14,14,Jimi Manuwa,Aleksandar Rakic,Kevin Sataki,2019-06-01,"Stockholm, Sweden",Blue,Light Heavyweight,3,0.0,7.0,3.0,Orthodox,193.04,205.0,5.0,21.0,6.0,Orthodox,185.42,205.0,27.0,39.0
15,15,Makwan Amirkhani,Chris Fishgold,Marc Goddard,2019-06-01,"Stockholm, Sweden",Red,Featherweight,3,1.0,3.0,1.0,Orthodox,172.72,145.0,1.0,11.0,4.0,Southpaw,177.8,145.0,26.0,30.0
16,16,Damir Hadzovic,Christos Giagos,Rich Mitchell,2019-06-01,"Stockholm, Sweden",Blue,Lightweight,3,3.0,10.0,2.0,Orthodox,177.8,155.0,2.0,12.0,3.0,Orthodox,175.26,155.0,29.0,32.0
17,17,Daniel Teymur,Sung Bin Jo,Rebin Saber,2019-06-01,"Stockholm, Sweden",Red,Featherweight,3,0.0,0.0,0.0,Orthodox,182.88,145.0,3.0,8.0,0.0,Orthodox,165.1,145.0,26.0,31.0
18,18,Rostem Akman,Sergey Khandozhko,Leon Roberts,2019-06-01,"Stockholm, Sweden",Blue,Welterweight,3,0.0,0.0,0.0,Orthodox,185.42,170.0,0.0,0.0,0.0,Switch,177.8,170.0,27.0,27.0
19,19,Tonya Evinger,Lina Lansberg,Kevin Sataki,2019-06-01,"Stockholm, Sweden",Blue,Women's Bantamweight,3,3.0,13.0,2.0,Orthodox,170.18,135.0,2.0,4.0,0.0,Orthodox,170.18,135.0,37.0,37.0
20,20,Stevie Ray,Leonardo Santos,Marc Goddard,2019-06-01,"Stockholm, Sweden",Blue,Lightweight,3,1.0,14.0,5.0,Orthodox,182.88,155.0,3.0,22.0,6.0,Southpaw,177.8,155.0,39.0,29.0
21,21,Nick Hein,Frank Camacho,Leon Roberts,2019-06-01,"Stockholm, Sweden",Blue,Lightweight,3,2.0,8.0,1.0,Orthodox,177.8,170.0,3.0,19.0,4.0,Southpaw,167.64,155.0,30.0,35.0
22,22,Bea Malecki,Duda Santana,,2019-06-01,"Stockholm, Sweden",Red,Women's Bantamweight,3,0.0,0.0,0.0,Orthodox,170.18,145.0,0.0,0.0,0.0,Orthodox,175.26,135.0,23.0,27.0
23,23,Darko Stosic,Devin Clark,Kevin Sataki,2019-06-01,"Stockholm, Sweden",Blue,Light Heavyweight,3,3.0,13.0,3.0,Orthodox,182.88,205.0,0.0,1.0,1.0,Orthodox,182.88,205.0,29.0,27.0
24,24,Joel Alvarez,Danilo Belluardo,Rebin Saber,2019-06-01,"Stockholm, Sweden",Red,Lightweight,3,0.0,0.0,0.0,Southpaw,182.88,155.0,1.0,3.0,0.0,Orthodox,190.5,155.0,24.0,25.0
