,weight_class
0,Heavyweight
1,Bantamweight
2,Flyweight
3,Lightweight
4,Lightweight
5,Light Heavyweight
7,Featherweight
8,Lightweight
9,Lightweight
11,Middleweight
13,Middleweight
15,Light Heavyweight
16,Catch Weight
17,Flyweight
18,Welterweight
19,Welterweight
20,Light Heavyweight
22,Flyweight
23,Featherweight
24,Middleweight
25,Bantamweight
26,Flyweight
27,Middleweight
28,Flyweight
29,Lightweight
30,Bantamweight
32,Featherweight
33,Welterweight
34,Welterweight
35,Middleweight
36,Middleweight
38,Heavyweight
39,Welterweight
41,Featherweight
42,Welterweight
43,Bantamweight
44,Welterweight
45,Bantamweight
46,Heavyweight
47,Welterweight
49,Catch Weight
51,Middleweight
52,Flyweight
53,Catch Weight
54,Lightweight
56,Middleweight
57,Heavyweight
58,Featherweight
59,Lightweight
60,Featherweight
62,Featherweight
63,Middleweight
64,Light Heavyweight
65,Lightweight
66,Light Heavyweight
67,Bantamweight
68,Lightweight
69,Featherweight
70,Heavyweight
71,Light Heavyweight
72,Welterweight
73,Heavyweight
74,Featherweight
76,Featherweight
77,Bantamweight
79,Flyweight
80,Catch Weight
81,Flyweight
83,Welterweight
85,Light Heavyweight
86,Flyweight
87,Middleweight
89,Welterweight
90,Welterweight
91,Middleweight
92,Welterweight
93,Lightweight
94,Welterweight
96,Catch Weight
98,Welterweight
100,Bantamweight
101,Heavyweight
102,Light Heavyweight
103,Heavyweight
104,Bantamweight
106,Middleweight
107,Featherweight
108,Heavyweight
109,Featherweight
110,Welterweight
111,Bantamweight
112,Middleweight
113,Featherweight
114,Heavyweight
115,Middleweight
116,Lightweight
117,Lightweight
118,Bantamweight
119,Middleweight
120,Welterweight
121,Light Heavyweight
122,Bantamweight
123,Lightweight
124,Middleweight
125,Heavyweight
126,Middleweight
128,Light Heavyweight
129,Heavyweight
130,Catch Weight
131,Welterweight
133,Lightweight
134,Featherweight
136,Light Heavyweight
137,Welterweight
138,Featherweight
139,Lightweight
141,Middleweight
142,Lightweight
143,Light Heavyweight
144,Bantamweight
145,Bantamweight
146,Featherweight
147,Heavyweight
148,Middleweight
149,Heavyweight
150,Featherweight
151,Middleweight
152,Heavyweight
153,Middleweight
154,Bantamweight
155,Featherweight
157,Flyweight
159,Heavyweight
161,Bantamweight
162,Middleweight
163,Welterweight
164,Middleweight
166,Bantamweight
167,Lightweight
168,Middleweight
169,Light Heavyweight
170,Flyweight
172,Featherweight
173,Lightweight
174,Welterweight
175,Featherweight
176,Light Heavyweight
177,Heavyweight
178,Light Heavyweight
179,Welterweight
180,Middleweight
181,Light Heavyweight
183,Middleweight
184,Flyweight
185,Featherweight
188,Featherweight
189,Bantamweight
190,Bantamweight
191,Bantamweight
193,Lightweight
195,Light Heavyweight
196,Featherweight
198,Lightweight
199,Heavyweight
200,Lightweight
201,Catch Weight
202,Welterweight
204,Heavyweight
205,Light Heavyweight
206,Welterweight
207,Featherweight
208,Middleweight
210,Bantamweight
211,Light Heavyweight
212,Welterweight
214,Featherweight
215,Middleweight
217,Middleweight
218,Featherweight
220,Welterweight
221,Bantamweight
222,Light Heavyweight
224,Welterweight
226,Lightweight
227,Light Heavyweight
228,Welterweight
229,Catch Weight
230,Heavyweight
231,Bantamweight
232,Heavyweight
233,Bantamweight
234,Lightweight
237,Featherweight
238,Featherweight
239,Heavyweight
240,Heavyweight
241,Middleweight
242,Middleweight
244,Lightweight
245,Welterweight
246,Middleweight
247,Lightweight
248,Middleweight
249,Featherweight
250,Featherweight
251,Bantamweight
252,Middleweight
254,Welterweight
255,Lightweight
256,Bantamweight
257,Featherweight
258,Featherweight
259,Middleweight
260,Light Heavyweight
261,Heavyweight
263,Light Heavyweight
264,Welterweight
265,Welterweight
266,Lightweight
267,Welterweight
268,Heavyweight
269,Featherweight
270,Heavyweight
272,Welterweight
273,Bantamweight
274,Flyweight
275,Middleweight
276,Lightweight
278,Flyweight
279,Light Heavyweight
280,Catch Weight
281,Lightweight
282,Bantamweight
283,Flyweight
284,Lightweight
285,Heavyweight
286,Featherweight
287,Flyweight
288,Featherweight
290,Welterweight
291,Middleweight
292,Featherweight
293,Light Heavyweight
294,Featherweight
296,Bantamweight
297,Welterweight
298,Featherweight
299,Bantamweight
302,Light Heavyweight
303,Welterweight
304,Featherweight
305,Lightweight
306,Heavyweight
307,Flyweight
309,Bantamweight
310,Lightweight
311,Welterweight
312,Middleweight
313,Heavyweight
314,Lightweight
316,Heavyweight
317,Catch Weight
318,Welterweight
320,Featherweight
321,Heavyweight
322,Featherweight
324,Welterweight
325,Catch Weight
326,Lightweight
328,Middleweight
330,Lightweight
332,Lightweight
334,Middleweight
335,Lightweight
336,Featherweight
337,Bantamweight
339,Catch Weight
341,Bantamweight
342,Welterweight
344,Bantamweight
345,Bantamweight
346,Welterweight
347,Bantamweight
348,Featherweight
349,Middleweight
350,Featherweight
351,Middleweight
352,Flyweight
353,Light Heavyweight
354,Catch Weight
355,Welterweight
356,Heavyweight
357,Catch Weight
358,Lightweight
361,Welterweight
362,Light Heavyweight
363,Flyweight
364,Bantamweight
365,Featherweight
366,Heavyweight
368,Featherweight
369,Middleweight
370,Featherweight
371,Welterweight
372,Middleweight
373,Featherweight
374,Featherweight
376,Heavyweight
377,Light Heavyweight
378,Heavyweight
379,Lightweight
380,Bantamweight
381,Heavyweight
382,Lightweight
384,Lightweight
385,Featherweight
386,Heavyweight
387,Welterweight
388,Featherweight
389,Light Heavyweight
390,Welterweight
391,Heavyweight
393,Middleweight
394,Lightweight
395,Bantamweight
396,Heavyweight
397,Featherweight
398,Heavyweight
399,Lightweight
400,Welterweight
401,Lightweight
402,Light Heavyweight
403,Lightweight
404,Flyweight
406,Welterweight
408,Flyweight
410,Middleweight
412,Lightweight
413,Welterweight
414,Welterweight
415,Bantamweight
416,Lightweight
417,Middleweight
418,Middleweight
419,Featherweight
420,Bantamweight
421,Flyweight
423,Light Heavyweight
425,Featherweight
426,Bantamweight
427,Middleweight
428,Lightweight
429,Heavyweight
430,Featherweight
431,Featherweight
432,Welterweight
433,Lightweight
434,Light Heavyweight
436,Heavyweight
437,Lightweight
438,Featherweight
439,Lightweight
440,Welterweight
441,Welterweight
442,Flyweight
445,Heavyweight
446,Flyweight
447,Welterweight
448,Lightweight
449,Lightweight
450,Light Heavyweight
451,Bantamweight
452,Light Heavyweight
453,Lightweight
454,Light Heavyweight
456,Heavyweight
457,Featherweight
458,Welterweight
