,Red,R_Reach_cms,Blue,B_Reach_cms,reach_dif,ganador,mejor_alcance
0,Molly McCann,157.48,Lara Procopio,170.18,12.7,Lara Procopio,largo
1,Andrew Sanchez,187.96,Makhmud Muradov,190.5,2.54,Makhmud Muradov,largo
2,Nik Lentz,172.72,Movsar Evloev,182.88,10.16,Movsar Evloev,largo
3,Victoria Leonardo,162.56,Manon Fiorot,170.18,7.62,Manon Fiorot,largo
4,Wu Yanan,167.64,Joselyne Edwards,177.8,10.16,Joselyne Edwards,largo
5,David Zawada,190.5,Ramazan Emeev,193.04,2.54,Ramazan Emeev,largo
6,Sijara Eubanks,167.64,Pannie Kianzad,170.18,2.54,Pannie Kianzad,largo
7,Tony Ferguson,187.96,Charles Oliveira,193.04,5.08,Charles Oliveira,largo
8,Renato Moicano,180.34,Rafael Fiziev,182.88,2.54,Rafael Fiziev,largo
9,Matt Wiman,172.72,Jordan Leavitt,180.34,7.62,Jordan Leavitt,largo
10,Gian Villante,193.04,Jake Collier,198.12,5.08,Jake Collier,largo
11,Spike Carlyle,180.34,Bill Algeo,185.42,5.08,Bill Algeo,largo
12,Luke Sanders,170.18,Nate Maness,182.88,12.7,Nate Maness,largo
13,Mike Perry,180.34,Tim Means,190.5,10.16,Tim Means,largo
14,Louis Cosce,180.34,Sasha Palatnikov,182.88,2.54,Sasha Palatnikov,largo
15,Abdul Razak Alhassan,185.42,Khaos Williams,195.58,10.16,Khaos Williams,largo
16,Brendan Allen,190.5,Sean Strickland,193.04,2.54,Sean Strickland,largo
17,Chris Gruetzemacher,172.72,Alexander Hernandez,182.88,10.16,Alexander Hernandez,largo
18,Jacob Malkoun,185.42,Phillip Hawes,195.58,10.16,Phillip Hawes,largo
19,Alex Oliveira,193.04,Shavkat Rakhmonov,195.58,2.54,Shavkat Rakhmonov,largo
20,Liana Jojua,157.48,Miranda Maverick,165.1,7.62,Miranda Maverick,largo
21,Claudio Silva,180.34,James Krause,185.42,5.08,James Krause,largo
22,Mateusz Gamrot,177.8,Guram Kutateladze,182.88,5.08,Guram Kutateladze,largo
23,Jamie Mullarkey,187.96,Fares Ziam,190.5,2.54,Fares Ziam,largo
24,Gadzhimurad Antigulov,177.8,Maxim Grishin,198.12,20.32,Maxim Grishin,largo
25,Marlon Moraes,170.18,Cory Sandhagen,177.8,7.62,Cory Sandhagen,largo
26,Impa Kasanganay,190.5,Joaquin Buckley,193.04,2.54,Joaquin Buckley,largo
27,Ali AlQaisi,172.72,Tony Kelley,177.8,5.08,Tony Kelley,largo
28,Bruno Silva,165.1,Tagir Ulanbekov,167.64,2.54,Tagir Ulanbekov,largo
29,Yorgan De Castro,187.96,Carlos Felipe,190.5,2.54,Carlos Felipe,largo
30,Dominick Reyes,195.58,Jan Blachowicz,198.12,2.54,Jan Blachowicz,largo
31,Diego Sanchez,182.88,Jake Matthews,185.42,2.54,Jake Matthews,largo
32,Mirsad Bektic,177.8,Damon Jackson,180.34,2.54,Damon Jackson,largo
33,Journey Newson,170.18,Randy Costa,185.42,15.24,Randy Costa,largo
34,Brok Weaver,185.42,Jalin Turner,195.58,10.16,Jalin Turner,largo
35,Cole Smith,170.18,Hunter Azure,175.26,5.08,Hunter Azure,largo
36,Anthony Smith,193.04,Aleksandar Rakic,198.12,5.08,Aleksandar Rakic,largo
37,Robbie Lawler,187.96,Neil Magny,203.2,15.24,Neil Magny,largo
