#,R_fighter,B_fighter,date,location,country,Winner,weight_class,gender,no_of_rounds,B_losses,B_total_rounds_fought,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_losses,R_total_rounds_fought,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,win_dif,loss_dif,height_dif,reach_dif,age_dif,better_rank
0,Alistair Overeem,Alexander Volkov,2/6/2021,"Las Vegas, Nevada, USA",USA,Blue,Heavyweight,MALE,5,2,26,6,Orthodox,200.66,203.2,250,15,83,33,Orthodox,193.04,203.2,265,40,32,0,-1,-27,-13,7.62,0.0,-8,Red
1,Cory Sandhagen,Frankie Edgar,2/6/2021,"Las Vegas, Nevada, USA",USA,Red,Bantamweight,MALE,3,8,94,18,Orthodox,167.64,172.72,135,1,14,6,Switch,180.34,177.8,135,28,39,0,0,12,7,-12.7,-5.08,11,Red
2,Alexandre Pantoja,Manel Kape,2/6/2021,"Las Vegas, Nevada, USA",USA,Red,Flyweight,MALE,3,0,0,0,Southpaw,165.1,172.72,125,3,21,6,Orthodox,165.1,170.18,125,30,27,-1,0,-6,-3,0.0,2.54,-3,Red
3,Diego Ferreira,Beneil Dariush,2/6/2021,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,4,36,13,Southpaw,177.8,182.88,155,2,21,8,Orthodox,175.26,187.96,155,36,31,0,-1,5,2,2.54,-5.08,-5,Red
4,Michael Johnson,Clay Guida,2/6/2021,"Las Vegas, Nevada, USA",USA,Blue,Lightweight,MALE,3,15,87,17,Orthodox,170.18,177.8,155,12,58,11,Southpaw,177.8,185.42,155,34,39,-1,0,6,3,-7.62,-7.62,5,neither
5,Mike Rodriguez,Danilo Marques,2/6/2021,"Las Vegas, Nevada, USA",USA,Blue,Light Heavyweight,MALE,3,0,3,1,Orthodox,198.12,195.58,205,3,13,3,Southpaw,193.04,208.28,205,32,35,-1,1,-2,-3,5.08,-12.7,3,neither
6,Molly McCann,Lara Procopio,2/6/2021,"Las Vegas, Nevada, USA",USA,Blue,Women's Flyweight,FEMALE,3,1,3,0,Orthodox,162.56,170.18,125,2,14,3,Orthodox,162.56,157.48,125,30,25,0,0,-3,-1,0.0,12.7,-5,neither
7,SeungWoo Choi,Youssef Zalal,2/6/2021,"Las Vegas, Nevada, USA",USA,Red,Featherweight,MALE,3,1,12,3,Switch,177.8,182.88,145,2,9,1,Orthodox,182.88,187.96,145,28,24,1,-1,2,-1,-5.08,-5.08,-4,neither
8,Dustin Poirier,Conor McGregor,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Lightweight,MALE,5,2,25,10,Southpaw,175.26,187.96,155,6,62,19,Southpaw,175.26,182.88,155,32,32,0,0,-9,-4,0.0,5.08,0,
9,Dan Hooker,Michael Chandler,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Lightweight,MALE,3,0,3,2,Orthodox,172.72,180.34,155,5,37,10,Switch,182.88,190.5,155,30,34,-1,2,-8,-5,-10.16,-10.16,4,
10,Jessica Eye,Joanne Calderwood,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Flyweight,FEMALE,3,5,25,6,Orthodox,167.64,165.1,125,7,39,5,Orthodox,167.64,167.64,125,34,35,0,0,1,-2,0.0,-2.54,1,
11,Andrew Sanchez,Makhmud Muradov,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Middleweight,MALE,3,0,6,2,Orthodox,187.96,190.5,185,3,22,5,Orthodox,185.42,187.96,185,32,30,0,1,-3,-3,2.54,2.54,-2,
12,Marina Rodriguez,Amanda Ribas,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Women's Strawweight,FEMALE,3,0,9,4,Orthodox,160.02,167.64,125,1,16,3,Orthodox,167.64,165.1,115,33,27,-1,4,1,-1,-7.62,2.54,-6,
13,Brad Tavares,Antonio Carlos Junior,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,3,4,29,7,Orthodox,187.96,200.66,185,6,49,12,Orthodox,185.42,187.96,185,33,30,0,0,-5,-2,2.54,12.7,-3,
14,Julianna Pena,Sara McMann,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Women's Bantamweight,FEMALE,3,5,34,10,Orthodox,167.64,167.64,135,2,16,5,Orthodox,167.64,175.26,135,31,40,-1,1,5,3,0.0,-7.62,9,
15,Khalil Rountree Jr.,Marcin Prachnio,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Light Heavyweight,MALE,3,3,3,0,Orthodox,190.5,187.96,205,4,15,4,Southpaw,185.42,193.04,205,30,32,2,0,-4,-1,5.08,-5.08,2,
16,Nik Lentz,Movsar Evloev,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Catch Weight,MALE,3,0,9,3,Orthodox,170.18,182.88,145,8,64,14,Orthodox,172.72,172.72,145,36,26,-2,3,-11,-8,-2.54,10.16,-10,
17,Amir Albazi,Zhalgas Zhumagulov,1/23/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,3,1,3,0,Switch,162.56,167.64,125,0,1,1,Orthodox,165.1,172.72,125,27,32,1,-1,-1,1,-2.54,-5.08,5,
18,Michael Chiesa,Neil Magny,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Welterweight,MALE,5,6,61,17,Orthodox,190.5,203.2,170,4,30,10,Southpaw,185.42,190.5,170,33,33,0,0,7,2,5.08,12.7,0,Red
19,Warlley Alves,Mounir Lazzez,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Welterweight,MALE,3,0,3,1,Orthodox,185.42,193.04,170,4,27,7,Orthodox,180.34,182.88,170,30,33,-1,1,-6,-4,5.08,10.16,3,neither
20,Ike Villanueva,Vinicius Moreira,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Light Heavyweight,MALE,3,3,5,1,Orthodox,193.04,193.04,205,2,3,0,Orthodox,185.42,185.42,225,36,31,1,0,1,1,7.62,7.62,-5,neither
21,Roxanne Modafferi,Viviane Araujo,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Flyweight,FEMALE,3,1,12,3,Orthodox,162.56,172.72,125,7,32,4,Orthodox,170.18,175.26,125,38,34,0,0,-1,-6,-7.62,-2.54,-4,Red
22,Matt Schnell,Tyson Nam,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,3,2,9,2,Orthodox,170.18,172.72,125,3,11,4,Orthodox,172.72,177.8,125,31,37,-1,2,-2,-1,-2.54,-5.08,6,Red
23,Lerone Murphy,Douglas Silva de Andrade,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,3,3,19,4,Orthodox,170.18,172.72,145,0,4,1,Orthodox,175.26,185.42,145,29,35,0,0,3,3,-5.08,-12.7,6,neither
24,Omari Akhmedov,Tom Breese,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,3,2,11,5,Southpaw,190.5,185.42,185,4,33,8,Orthodox,182.88,185.42,185,33,29,-1,1,-3,-2,7.62,0.0,-4,Red
25,Ricky Simon,Gaetano Pirrello,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Bantamweight,MALE,3,0,0,0,Orthodox,170.18,170.18,135,2,19,5,Orthodox,167.64,175.26,135,28,28,0,-1,-5,-2,2.54,-5.08,0,neither
26,Su Mudaerji,Zarrukh Adashev,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,3,1,1,0,Southpaw,165.1,165.1,125,1,6,2,Southpaw,172.72,182.88,125,25,28,1,-2,-2,0,-7.62,-17.78,3,neither
27,Dalcha Lungiambula,Markus Perez,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Middleweight,MALE,3,4,13,2,Orthodox,185.42,185.42,185,1,6,1,Orthodox,172.72,193.04,185,33,32,1,0,1,3,12.7,-7.62,-1,neither
28,Francisco Figueiredo,Jerome Rivera,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Flyweight,MALE,3,1,5,1,Southpaw,177.8,182.88,135,0,0,0,Southpaw,167.64,175.26,135,31,25,1,0,1,1,10.16,7.62,-6,neither
29,Mike Davis,Mason Jones,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Lightweight,MALE,3,0,0,0,Orthodox,177.8,177.8,155,2,8,1,Orthodox,182.88,182.88,145,28,25,0,-1,-1,-2,-5.08,-5.08,-3,neither
30,Umar Nurmagomedov,Sergey Morozov,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Bantamweight,MALE,3,0,0,0,Orthodox,167.64,167.64,135,0,0,0,Orthodox,172.72,172.72,135,24,31,0,0,0,0,-5.08,-5.08,7,neither
31,Victoria Leonardo,Manon Fiorot,1/20/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Blue,Women's Flyweight,FEMALE,3,0,0,0,Orthodox,170.18,170.18,125,0,2,1,Orthodox,165.1,162.56,125,30,30,0,-1,-1,0,5.08,7.62,0,neither
32,Max Holloway,Calvin Kattar,1/16/2021,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,Red,Featherweight,MALE,5,2,21,6,Orthodox,180.34,182.88,145,6,70,17,Orthodox,180.34,175.26,145,29,32,-2,2,-11,-4,0.0,7.62,3,Red
