,weight_class
6,Women's Flyweight
10,Women's Flyweight
12,Women's Strawweight
14,Women's Bantamweight
21,Women's Flyweight
31,Women's Flyweight
37,Women's Bantamweight
40,Women's Bantamweight
48,Women's Bantamweight
50,Women's Flyweight
55,Women's Strawweight
61,Women's Strawweight
75,Women's Bantamweight
78,Women's Flyweight
82,Women's Flyweight
84,Women's Flyweight
88,Women's Flyweight
95,Women's Strawweight
97,Women's Strawweight
99,Women's Strawweight
105,Women's Strawweight
127,Women's Flyweight
132,Women's Flyweight
135,Women's Flyweight
140,Women's Flyweight
156,Women's Bantamweight
158,Women's Bantamweight
160,Women's Bantamweight
165,Women's Strawweight
171,Women's Bantamweight
182,Women's Strawweight
186,Women's Flyweight
187,Women's Bantamweight
192,Women's Strawweight
194,Women's Flyweight
197,Women's Bantamweight
203,Women's Flyweight
209,Women's Flyweight
213,Women's Flyweight
216,Women's Strawweight
219,Women's Strawweight
223,Women's Flyweight
225,Women's Strawweight
235,Women's Strawweight
236,Women's Strawweight
243,Women's Bantamweight
253,Women's Flyweight
262,Women's Strawweight
271,Women's Bantamweight
277,Women's Flyweight
289,Women's Flyweight
295,Women's Flyweight
300,Women's Strawweight
301,Women's Flyweight
308,Women's Bantamweight
315,Women's Flyweight
319,Women's Strawweight
323,Women's Bantamweight
327,Women's Strawweight
329,Women's Flyweight
331,Women's Flyweight
333,Women's Flyweight
338,Women's Flyweight
340,Women's Bantamweight
343,Women's Featherweight
359,Women's Strawweight
360,Women's Flyweight
367,Women's Strawweight
375,Women's Flyweight
383,Women's Bantamweight
392,Women's Strawweight
405,Women's Strawweight
407,Women's Flyweight
409,Women's Bantamweight
411,Women's Strawweight
422,Women's Featherweight
424,Women's Featherweight
435,Women's Strawweight
443,Women's Strawweight
444,Women's Flyweight
455,Women's Strawweight
460,Women's Flyweight
463,Women's Strawweight
466,Women's Flyweight
469,Women's Bantamweight
475,Women's Strawweight
479,Women's Bantamweight
482,Women's Flyweight
491,Women's Bantamweight
493,Women's Bantamweight
499,Women's Bantamweight
502,Women's Strawweight
511,Women's Bantamweight
513,Women's Flyweight
518,Women's Featherweight
522,Women's Flyweight
526,Women's Flyweight
535,Women's Flyweight
537,Women's Flyweight
539,Women's Flyweight
541,Women's Flyweight
547,Women's Flyweight
552,Women's Flyweight
560,Women's Strawweight
564,Women's Flyweight
574,Women's Strawweight
576,Women's Flyweight
577,Women's Strawweight
581,Women's Flyweight
587,Women's Bantamweight
593,Women's Flyweight
594,Women's Bantamweight
611,Women's Strawweight
612,Women's Bantamweight
616,Women's Strawweight
619,Women's Bantamweight
631,Women's Bantamweight
642,Women's Featherweight
643,Women's Flyweight
648,Women's Strawweight
652,Women's Flyweight
654,Women's Bantamweight
657,Women's Strawweight
660,Women's Strawweight
670,Women's Flyweight
674,Women's Flyweight
677,Women's Flyweight
688,Women's Strawweight
692,Women's Strawweight
695,Women's Bantamweight
698,Women's Flyweight
704,Women's Flyweight
714,Women's Flyweight
728,Women's Bantamweight
739,Women's Flyweight
740,Women's Bantamweight
752,Women's Strawweight
756,Women's Bantamweight
760,Women's Bantamweight
765,Women's Flyweight
769,Women's Bantamweight
775,Women's Strawweight
778,Women's Flyweight
782,Women's Strawweight
784,Women's Strawweight
786,Women's Strawweight
789,Women's Flyweight
796,Women's Bantamweight
799,Women's Bantamweight
804,Women's Featherweight
808,Women's Bantamweight
815,Women's Strawweight
819,Women's Bantamweight
824,Women's Flyweight
826,Women's Bantamweight
833,Women's Bantamweight
847,Women's Strawweight
850,Women's Strawweight
855,Women's Flyweight
874,Women's Flyweight
879,Women's Strawweight
882,Women's Strawweight
887,Women's Flyweight
894,Women's Flyweight
897,Women's Flyweight
898,Women's Strawweight
911,Women's Flyweight
920,Women's Bantamweight
929,Women's Strawweight
936,Women's Bantamweight
937,Women's Strawweight
941,Women's Flyweight
946,Women's Flyweight
953,Women's Strawweight
959,Women's Flyweight
962,Women's Strawweight
966,Women's Flyweight
979,Women's Strawweight
981,Women's Flyweight
991,Women's Flyweight
994,Women's Flyweight
1001,Women's Featherweight
1005,Women's Featherweight
1025,Women's Flyweight
1029,Women's Strawweight
