,Red,R_Height_cms,Blue,B_Height_cms,height_dif,ganador,ganador_height
0,Alistair Overeem,193.04,Alexander Volkov,200.66,7.62,Alexander Volkov,alto
1,Diego Ferreira,175.26,Beneil Dariush,177.8,2.54,Beneil Dariush,alto
2,Mike Rodriguez,193.04,Danilo Marques,198.12,5.08,Danilo Marques,alto
3,Andrew Sanchez,185.42,Makhmud Muradov,187.96,2.54,Makhmud Muradov,alto
4,Khalil Rountree Jr.,185.42,Marcin Prachnio,190.5,5.08,Marcin Prachnio,alto
5,Victoria Leonardo,165.1,Manon Fiorot,170.18,5.08,Manon Fiorot,alto
6,Joaquin Buckley,177.8,Alessio Di Chirico,182.88,5.08,Alessio Di Chirico,alto
7,Jacob Kilburn,175.26,Austin Lingo,177.8,2.54,Austin Lingo,alto
8,Tony Ferguson,177.8,Charles Oliveira,180.34,2.54,Charles Oliveira,alto
9,Renato Moicano,172.72,Rafael Fiziev,180.34,7.62,Rafael Fiziev,alto
10,Ovince Saint Preux,190.5,Jamahal Hill,193.04,2.54,Jamahal Hill,alto
11,Spike Carlyle,172.72,Bill Algeo,182.88,10.16,Bill Algeo,alto
12,Luke Sanders,167.64,Nate Maness,177.8,10.16,Nate Maness,alto
13,Mike Perry,177.8,Tim Means,187.96,10.16,Tim Means,alto
14,Mauricio Rua,185.42,Paul Craig,190.5,5.08,Paul Craig,alto
15,Louis Cosce,175.26,Sasha Palatnikov,185.42,10.16,Sasha Palatnikov,alto
16,Abdul Razak Alhassan,177.8,Khaos Williams,182.88,5.08,Khaos Williams,alto
17,Kay Hansen,157.48,Cory McKenna,160.02,2.54,Cory McKenna,alto
18,Claudia Gadelha,162.56,Yan Xiaonan,165.1,2.54,Yan Xiaonan,alto
19,Chris Gruetzemacher,172.72,Alexander Hernandez,175.26,2.54,Alexander Hernandez,alto
20,Jacob Malkoun,175.26,Phillip Hawes,182.88,7.62,Phillip Hawes,alto
21,Nathaniel Wood,167.64,Casey Kenney,170.18,2.54,Casey Kenney,alto
22,Alex Oliveira,180.34,Shavkat Rakhmonov,185.42,5.08,Shavkat Rakhmonov,alto
23,Claudio Silva,180.34,James Krause,187.96,7.62,James Krause,alto
24,Thomas Almeida,170.18,Jonathan Martinez,172.72,2.54,Jonathan Martinez,alto
25,Mateusz Gamrot,177.8,Guram Kutateladze,180.34,2.54,Guram Kutateladze,alto
26,Jamie Mullarkey,182.88,Fares Ziam,185.42,2.54,Fares Ziam,alto
